What Night Elf Building Regenerates night elf unit's mana when near?|Moon Well
MAPS:What is the most classic map in warcraft 3 and TFT that makes your account level up?|Melee
MAPS:What kind of map is when you snipe out opponent's unit|snipers
MAPS:What kind of map is when you use towers do defend but you summon monsters to opponents|wars
MAPS:What kind of map is when you need o run from certain players to not get stuck in mid?|tag
MAPS:What kind of map is when you pick an hero and battle other heros for levels?|arena
MAPS:What kind of map is an defense against another tram while you attack them?|AOS or DOTA
MAPS:What kind of map is when you play as an fictional character?|RPG
MAPS:What kind of map is an defense against monsters with towers?|TD
Sentinel Campaign Question: What's the name of the first chapter?|Rise Of The Naga
Sentinel Campaign Question: What's the name of the second chapter?|The Broken Isles
Sentinel Campaign Question: What's the name of the third chapter?|The Tomb of Sargeras
Sentinel Campaign Question: What's the name of the fourth chapter?|Wrath of the Betrayer
Sentinel Campaign Question: What's the name of the fifth chapter?|Balancing The Scales
Sentinel Campaign Question: What's the name of the sixth chapter?|Shards Of The Alliance
Sentinel Campaign Question: What's the name of the seventh chapter?|The Ruins of Dalaran
Sentinel Campaign Question: What's the name of the eighth chapter?|The Brothers Stormrage
Alliance Campaign Question: What's the name of the first chapter?|Misconceptions
Alliance Campaign Question: What's the name of the second chapter?|A Dark Covenant
Alliance Campaign Question: What's the name of the third chapter?|The Dungeons of Dalaran
Alliance Campaign Question: What's the name of the secret level after the third chapter?|The Crossing
Alliance Campaign Question: What's the name of the fourth chapter?|The Search for Illidan
Alliance Campaign Question: What's the name of the fifth chapter?|Gates of the Abyss
Alliance Campaign Question: What's the name of the sixth chapter?|Lord of Outland
Scourge Campaign Question: What's the name of the first chapter?|King Arthas
Scourge Campaign Question: What's the name of the second chapter?|The Flight from Lordaeron
Scourge Campaign Question: What's the name of the third chapter?|The Dark Lady
Scourge Campaign Question: What's the name of the fourth chapter?|The Return to Northrend
Scourge Campaign Question: What's the name of the fifth chapter?|Dreadlord's Fall
Scourge Campaign Question: What's the name of the sixth chapter?|A New Power in Lordaeron
Scourge Campaign Question: What's the name of the seventh chapter Part I?|Into the Shadow Web Caverns
Scourge Campaign Question: What's the name of the seventh chapter Part II?|The Forgotten Ones
Scourge Campaign Question: What's the name of the seventh chapter Part III?|Ascent to the Upper Kingdom
Scourge Campaign Question: What's the name of the eighth chapter?|A symphony of Frost and Flame
What Spell causes a powerful explosion that deals damage to nearby enemy units?|Unstable Concoction
What Upgrade makes Orc Burrows and Watch Towers to have Fortified armor?|Reinforced Defenses
Witch Ultimate Hero Spell Summons a heavy glying unit composed entirely of flame?|Phoenix
What Tower has Magical Defense with the Reveal and Feedback abilities?|Arcane Tower
This shop from witch any unit that has an inventory can purchase items?|Arcane Vault
What Hero spell magically binds a target enemy air unit so that is cannot move or attack|Aerial Shackles
What undead warrior unit is adept at summoning insect minions and crushing enemies?|Crypt Lord
What Hero spell slams the ground shooting spikes out in a line and impaling enemy ground units?|Impale
What Hero ability encloses the Crypt Lord in barbed layers?|Spiked Carapace
This Hero Spell produces a Carrion Beetle from a target corpse?|Carrion Beetles
Whitch Ultimate Hero Spell creates a swarm of angry locusts tat bite and tear at nearby enemy units?|Locust Swarm
What Hero that is adept at entering and escaping combat?|Warden
What Hero Spell enables the Warden to teleport to a short distance?|Blink
Whitch Ultimate Hero Spell creates a powerful Avatar that summons invulnerable spirits from friendly corpses?|Vengeance
What Neutral Naga Unit is adept at ranged combat?|Naga Sea Witch
What Neutral Unit is exceptional at weakening enemies and melee combat?|Pit Lord
What Ultimate Neural Hero Spell that robs a taget unit of its ability to cast spells and damages the unit overtime until it dies, and a powerful Demon will spawn from its corpse?|Doom
Who is the builder of the Orc?|peon
Where do you train Grunts?|Barracks
Where do you train troll headhunters?|Barracks
Where do you train Peons?|Great Hall
Where Do you build Demolishers?|Barracks
What is the only research upgrade for the demolisher?|Burning Oil
What is the only research upgrade for Grunts?|Berserker Strengh
Which Research has the ability to transform Troll Headhunters to Troll Berserkers?|Berserker Upgrade
Which Research Upgrade can increase The Regeneration Rate For All Trolls?|Troll Regeneration
Which Unit can go inside a burrow to give it an attack?|Peon
What is The Basic and only orc tower?|Watch Tower
Where do you Train Orc Heroes?|Altar of Storms
What is The Upgrade Structure for Orc called?|War Mill
Where do you get the research to upgrade burrows and watch towers to fortified armor?|War Mill
What is The Orc Item Shop called?|Voodoo Lounge
What Do You need to make Stronghold?|nothing
What Do you need to make watch tower?|War Mill
What do you need to make a spirit lodge and a beastiary?|Stronghold
What is The Most Powerful Melee Unit in the orc unit arsenal?|Tauren
What is the most powerful Ranged Unit in the Orc unit arsenal|Wind Rider
What is The Most powerful Anti-Air Unit in the orc unit arsenal?|Troll Batrider
Which Unit Gives damage to all friendly units?|kodo beast
Which Unit Can do xtra damage to structures and have the ability to get gold with each strike?|Raider
Where do you research ensnare?|Beastiary
Where do you upgrade war drums?|Beastiary
Where do you research poison arrows?|Beastiary
Where Do you research Liquid Flame|Beastiary
What Can You upgrade in the Spirit Lodge?|Caster Training
Which Orc Unit can cast bloodlust?|shaman
Which Orc unit can cast purge?|shaman
Which orc unit can cast lightning shield?|shaman
Which Orc Unit can cast Sentry ward?|Troll witch doctor
Which Orc Unit can cast Stasis Ward?|troll witch doctor
Which Orc Unit can cast Healing Ward?|troll witch doctor
What Does A Troll Witch Doctor Speacilize in?|Wards
Which Orc Unit can cast Spirit Link?|Spirit Walker
Which Orc Unit can cast Disenchant?|Spirit Walker
Which Orc Unit can cast Ancestral Spirit?|Spirit Walker
What Does Ancestral Spirit Revive?|Tauren
Which Orc hero is used the most in ladder games?(its not a melee hero)|Far Seer
Which Orc Hero Can Use Wind Walk?|Blademaster
Which Orc Hero can use Mirror Image?|Blademaster
Which Orc Hero can use critical strike?|Blademaster
Which Orc Hero Can use Bladestorm?|Blademaster
Credits:Whos the Copyist for TFT?|Jeff Kurtenacker
Credits:Whos the Recording Engineer/Music Mixer for TFT?|Dort Armarilio
Credits:Who Recorded the Cinematic Music for TFT?|Steve Salani
Credits:Whos the Voice Director for TFT?|Chris Metzen and Micky Neilson
Credits:Whos the Voice Editor for TFT?|Tami Donner Harrison
Credits:Whos the Technical Support Manager for TFT?|Thor Balfore
Credits:Whos the Business Develepor for TFT?|Paul W Sams
Which Orc Hero Can Use Chain Lightning?|Far Seer
Which Orc Hero Can Use Far Sight?|Far Seer
Which Orc Hero Can Use Feral Spirit?|Far Seer
Which Orc Hero Can Use Earthquake?|Far Seer
Which Orc Hero Can Use Healing Wave?|Shadow Hunter
Which Orc Hero Can Use Hex?|Shadow Hunter
Which Orc Hero Can Use Serpent Ward?|Shadow Hunter
